Gender,Course,Study Year,CGPA,Study Days per Week,Study Hours per Day,Study Hours Before Exam,Study Method,Study Schedule,Follow Schedule Frequency,Procrastination Level,Deadline Management,Social Media During Study,Part-Time Job,Work Hours per Week,Study Place,Family Support,Sleep Hours,Stress Level (Beginning of Semester),Stress Level (End of Semester)
Female,Bachelor of Accounting ,3,3.5,3,5.5,7.0,Doing practice questions,No,,4,Good,Always,No,0.0,Room,Very Supportive,8.5,2,5
Female,Bachelor of Investment Management,2,3.5,6,1.5,5.5,Summarizing/making notes,Yes,Sometimes,2,Good,Sometimes,No,0.0,"Room, Campus Study Area",Very Supportive,4.5,1,5
Female,Bachelor of Business,2,3.5,2,1.5,7.0,Summarizing/making notes,No,,4,Average,Always,No,0.0,Room,Very Supportive,4.5,2,3
Female,Bachelor of Accounting,1,3.5,5,3.5,3.5,Summarizing/making notes,No,,3,Poor,Always,No,0.0,Room,Neutral,4.5,2,4
Female,Bachelor of Science in Chemistry ,2,3.5,5,1.5,7.0,Summarizing/making notes,No,,3,Average,Always,No,0.0,Room,Very Supportive,8.5,1,4
Female,Bachelor of Arabic,2,3.5,5,1.5,3.5,Reading lecture notes,Yes,Sometimes,3,Average,Always,No,0.0,Room,Very Supportive,6.5,4,4
Female,Bachelor of Teaching English as a Second Language (TESL),2,3.5,3,1.5,3.5,Summarizing/making notes,No,,3,Good,Sometimes,No,0.0,At my house,Very Supportive,4.5,2,4
Male,Bachelor of Computer Science,2,2.5,5,3.5,5.5,Summarizing/making notes,Yes,Always,2,Average,Sometimes,No,0.0,"Library, Room",Very Not Supportive,3.0,1,5
Male,Bachelor of Mass Communication ,1,4.0,3,1.5,3.5,Summarizing/making notes,No,,4,Good,Sometimes,No,0.0,"Library, Room",Very Supportive,6.5,3,2
Male,Bachelor of Software Engineering ,2,3.5,5,5.5,5.5,Reading lecture notes,No,,4,Average,Always,No,0.0,Room,Neutral,6.5,4,5
Female,Bachelor of Civil Engineering,2,3.5,5,3.5,7.0,Doing practice questions,No,,4,Average,Sometimes,No,0.0,Campus Study Area,Very Supportive,6.5,3,5
Female,Bachelor of Mechanical Engineering ,2,3.5,2,3.5,1.5,Doing practice questions,No,,3,Average,Never,No,0.0,Room,Neutral,3.0,1,4
Male,Bachelor of Accounting,1,3.5,7,3.5,7.0,Doing practice questions,No,,3,Average,Sometimes,No,0.0,Room,Very Supportive,6.5,1,4
Male,Bachelor in Accounting Fintech ,2,3.5,7,3.5,3.5,Doing practice questions,Yes,Always,2,Good,Sometimes,No,0.0,Room,Very Supportive,8.5,4,5
Female,Bachelor of Electrical and Electronics Engineering,2,3.5,5,1.5,5.5,Summarizing/making notes,No,,4,Average,Sometimes,No,0.0,"Library, Room, Cafe, Campus Study Area",Very Supportive,8.5,4,5
